symbol,position_id,side,lots,entry,exit,closed,sim_ccy,sim_acct,broker_profit,broker_commission,broker_swap,ticket,diff,abs_diff,rel
XAUUSD.a,314492948,sell,0.01,4357.01,4353.32,2026-08-07 13:34:07.224,3.6900000000005093,5.240732850448103,5.22,0.0,0.0,276423026,0.02073285044810369,0.02073285044810369,0.003971810430671205
XAUUSD.a,314495995,sell,0.01,4352.94,4344.28,2026-08-07 13:58:45.377,8.659999999999854,12.299389291293645,12.27,0.0,0.0,276439282,0.029389291293645314,0.029389291293645314,0.0023952152643557712
USDJPY.a,314512072,buy,0.05,157.733,158.273,2026-08-10 01:59:53.084,2699.9999999999604,24.24619288560213,24.15,0.0,0.14,276626290,0.09619288560213235,0.09619288560213235,0.0039831422609578615
XAUUSD.a,314742112,sell,0.01,4322.1,4318.55,2026-08-14 01:27:58.909,3.550000000000182,5.031393058095131,5.03,0.0,2.55,278270530,0.0013930580951306837,0.0013930580951306837,0.00027694991950908223
XAUUSD.a,316852342,buy,0.01,4356.88,4356.91,2026-08-13 22:31:08.128,0.02999999999974534,0.042509777248406364,0.04,0.0,0.0,278226914,0.0025097772484063627,0.0025097772484063627,0.06274443121015906
XAUUSD.a,316930264,sell,0.01,4326.83,4325.43,2026-08-14 04:37:19.684,1.3999999999996362,1.9825535289447662,1.98,0.0,0.0,278306624,0.002553528944766237,0.002553528944766237,0.0012896610832152712
XAUUSD.a,317001085,sell,0.01,4348.89,4343.06,2026-08-18 22:11:11.618,5.829999999999927,8.226678143564603,8.23,0.0,1.25,279418944,-0.0033218564353969526,0.0033218564353969526,0.00040362775642733325
USDJPY.a,317355466,buy,0.01,159.042,159.054,2026-08-17 01:03:07.974,12.000000000000455,0.10632476532998095,0.11,0.0,0.0,278649736,-0.0036752346700190536,0.0036752346700190536,0.03341122427290049
USDJPY.a,318214728,sell,0.01,159.607,159.601,2026-08-18 22:56:38.318,6.000000000000227,0.053064207615157656,0.05,0.0,0.0,279423831,0.0030642076151576533,0.0030642076151576533,0.06128415230315307
XAUUSD.a,318287158,sell,0.01,4355.39,4353.78,2026-08-19 02:55:12.384,1.610000000000582,2.2728876967608977,2.27,0.0,0.0,279484206,0.002887696760897729,0.002887696760897729,0.0012721131105276338
XAUUSD.a,318291221,sell,0.01,4353.48,4353.54,2026-08-19 03:21:56.640,-0.06000000000040018,-0.08473140145794524,-0.08,0.0,0.0,279488846,-0.0047314014579452335,0.0047314014579452335,0.05914251822431542
XAUUSD.a,318297947,sell,0.01,4357.6,4356.28,2026-08-19 03:55:30.017,1.3200000000006185,1.8640908320632357,1.87,0.0,0.0,279493104,-0.005909167936764437,0.005909167936764437,0.0031599828538847255
USDJPY.a,318805536,buy,0.01,158.149,158.205,2026-08-19 23:14:33.763,56.000000000011596,0.49662889371163665,0.5,0.0,0.0,279906729,-0.003371106288363346,0.003371106288363346,0.006742212576726692
USDJPY.a,318805545,buy,0.03,158.149,158.213,2026-08-19 23:25:31.957,191.99999999997885,1.7041488181440094,1.7,0.0,0.0,279908044,0.00414881814400947,0.00414881814400947,0.002440481261182041
XAUUSD.a,318821324,sell,0.01,4514.26,4512.3,2026-08-19 23:59:05.484,1.9600000000000364,2.7512247161045416,2.75,0.0,0.0,279912195,0.0012247161045415567,0.0012247161045415567,0.0004453513107423842
XAUUSD.a,318824763,sell,0.01,4516.36,4511.85,2026-08-20 00:31:18.977,4.509999999999309,6.330268790791366,6.33,0.0,0.0,279920387,0.00026879079136588047,0.00026879079136588047,4.24630002157789e-05
XAUUSD.a,318837643,buy,0.01,4505.81,4506.01,2026-08-20 00:57:04.513,0.1999999999998181,0.2807214541368771,0.28,0.0,0.0,279925732,0.0007214541368770755,0.0007214541368770755,0.0025766219174181266
XAUUSD.a,318839553,sell,0.01,4506.94,4493.54,2026-08-20 01:04:35.671,13.399999999999636,18.80833742718736,18.83,0.0,0.0,279929999,-0.021662572812637393,0.021662572812637393,0.001150428720798587
XAUUSD.a,318845213,buy,0.01,4494.32,4495.13,2026-08-20 01:11:19.586,0.8100000000004002,1.136921889255948,1.1400000000000001,0.0,0.0,279932940,-0.003078110744052065,0.003078110744052065,0.0027000971439053198
XAUUSD.a,318846183,buy,0.01,4493.79,4494.91,2026-08-20 01:15:13.382,1.1199999999998909,1.5720401431677884,1.5699999999999998,0.0,0.0,279933961,0.002040143167788555,0.002040143167788555,0.0012994542469990798
XAUUSD.a,318847751,sell,0.01,4498.82,4496.82,2026-08-20 01:37:40.622,2.0,2.808515418749649,2.81,0.0,0.0,279940598,-0.0014845812503510025,0.0014845812503510025,0.0005283207296622785
XAUUSD.a,318854304,sell,0.01,4497.49,4494.93,2026-08-20 01:44:21.124,2.5599999999994907,3.5948997359988355,3.6,0.0,0.0,279942162,-0.0051002640011645894,0.0051002640011645894,0.001416740000323497
XAUUSD.a,318857800,buy,0.01,4489.19,4487.99,2026-08-20 01:53:36.271,-1.199999999999818,-1.685109251249534,-1.69,0.0,0.0,279944956,0.004890748750465912,0.004890748750465912,0.0028939341718733206
XAUUSD.a,318858525,buy,0.01,4486.16,4486.92,2026-08-20 01:55:35.256,0.7600000000002183,1.0672358591251732,1.07,0.0,0.0,279945932,-0.0027641408748269036,0.0027641408748269036,0.00258330922881019
XAUUSD.a,318862053,sell,0.01,4495.78,4495.83,2026-08-20 02:09:59.635,-0.0500000000001819,-0.07021288546899666,-0.07,0.0,0.0,279950054,-0.00021288546899665695,0.00021288546899665695,0.0030412209856665274
XAUUSD.a,318866818,buy,0.01,4489.83,4494.1,2026-08-20 02:25:02.133,4.270000000000437,5.99340304582839,6.0,0.0,0.0,279953358,-0.006596954171610214,0.006596954171610214,0.0010994923619350356
XAUUSD.a,318873859,sell,0.01,4495.02,4491.13,2026-08-20 03:10:07.827,3.8900000000003274,5.460032282967685,5.47,0.0,0.0,279960917,-0.009967717032314916,0.009967717032314916,0.0018222517426535495
XAUUSD.a,318878873,sell,0.01,4495.27,4491.12,2026-08-20 04:29:25.817,4.150000000000546,5.831354419886388,5.83,0.0,0.0,279972858,0.0013544198863879586,0.0013544198863879586,0.00023231901996362926
USDJPY.a,318883643,buy,0.01,158.464,158.466,2026-08-20 04:30:21.943,2.0000000000095497,0.017741065911046832,0.02,0.0,0.0,279973228,-0.0022589340889531684,0.0022589340889531684,0.11294670444765842
USDJPY.a,318899885,sell,0.05,158.588,158.712,2026-08-20 05:39:21.478,-619.9999999999762,-5.496602961954228,-5.49,0.0,0.0,279986356,-0.006602961954227382,0.006602961954227382,0.0012027253104239311
XAUUSD.a,318905001,buy,0.01,4480.46,4481.07,2026-08-20 05:42:41.427,0.6099999999996726,0.8573436401963072,0.86,0.0,0.0,279986933,-0.0026563598036928315,0.0026563598036928315,0.0030887904694102694
XAUUSD.a,318911754,sell,0.01,4489.97,4488.2,2026-08-20 07:05:23.541,1.7700000000004366,2.488051728985713,2.49,0.0,0.0,280006111,-0.001948271014287073,0.001948271014287073,0.000782438158348222
XAUUSD.a,318927367,sell,0.01,4489.82,4488.98,2026-08-20 07:13:05.227,0.8400000000001455,1.1807703120609299,1.18,0.0,0.0,280007811,0.000770312060929923,0.000770312060929923,0.000652806831296545
XAUUSD.a,318980722,sell,0.01,4489.5,4487.33,2026-08-20 11:09:10.356,2.1700000000000728,3.0467258227564766,3.05,0.0,0.0,280071383,-0.003274177243523191,0.003274177243523191,0.001073500735581374
XAUUSD.a,319000931,buy,0.01,4482.23,4485.37,2026-08-20 11:23:19.121,3.1400000000003274,4.408007412191267,4.41,0.0,0.0,280076686,-0.001992587808732793,0.001992587808732793,0.0004518339702341934
XAUUSD.a,319020504,buy,0.01,4475.1,4483.51,2026-08-20 13:01:52.294,8.409999999999854,11.805331349401108,11.81,0.0,0.0,280135714,-0.004668650598892654,0.004668650598892654,0.00039531334452943726
XAUUSD.a,319023532,buy,0.01,4468.74,4473.91,2026-08-20 12:52:41.978,5.170000000000073,7.257260770083905,7.27,0.0,0.0,280129944,-0.012739229916094885,0.012739229916094885,0.0017523012264229554
XAUUSD.a,319082837,buy,0.01,4477.74,4483.48,2026-08-20 13:35:17.454,5.739999999999782,8.052297850849815,8.06,0.0,0.0,280154434,-0.007702149150185633,0.007702149150185633,0.000955601631536679
XAUUSD.a,319251915,sell,0.01,4519.27,4519.09,2026-08-20 20:50:56.145,0.18000000000029104,0.253064897087351,0.25,0.0,0.0,280313780,0.003064897087351026,0.003064897087351026,0.012259588349404105
XAUUSD.a,319404211,sell,0.01,4520.71,4514.48,2026-08-21 00:35:01.849,6.230000000000473,8.758241603757009,8.74,0.0,0.42,280341974,0.018241603757008562,0.018241603757008562,0.0020871400179643665
XAUUSD.a,319434243,sell,0.01,4514.37,4511.92,2026-08-21 00:53:36.252,2.449999999999818,3.4442523160836997,3.44,0.0,0.0,280345397,0.004252316083699803,0.004252316083699803,0.0012361383964243613
XAUUSD.a,319592698,sell,0.01,4590.99,4582.74,2026-08-21 09:29:57.590,8.25,11.546697644473682,11.52,0.0,0.0,280499369,0.026697644473681947,0.026697644473681947,0.002317503860562669
