pattern_id,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp,edge_R,gross_R,friction_R,net_R,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max
cbbbb|bb,0.5,1.0,2.0,350,350,0.0,0,35.43,31.99,32.15,33.33,3.44,0.1033,0.0629,0.2211,-0.1582,1.38,0.16689637374241467,1.46,0.14410835225758037,0.13432835820895522,4/4,1.0,False,False
cdddd|ca,0.5,2.0,4.0,362,362,0.0,0,22.65,19.41,19.37,20.0,3.24,0.1622,0.1326,0.2047,-0.0721,1.56,0.118344140236877,1.46,0.14319583135920222,0.12935323383084577,3/4,0.75,False,False
aaaab|cc,1.0,2.0,2.0,376,376,0.0,0,36.7,32.87,32.7,33.33,3.83,0.1149,0.1011,0.102,-0.001,1.58,0.11333737176059608,1.45,0.1481657046092003,0.15422885572139303,3/4,0.75,False,False
cdddd|ca,1.0,2.0,2.0,362,361,0.3,0,36.29,32.74,32.7,33.33,3.55,0.1064,0.0886,0.1023,-0.0137,1.44,0.15063091743176477,1.43,0.1523713680309857,0.15422885572139303,3/4,0.75,False,False
ddddd|cb,0.5,3.0,6.0,1525,1524,0.1,0,14.96,13.65,13.67,14.29,1.31,0.092,0.0472,0.2045,-0.1573,1.5,0.13448308507092732,1.42,0.15677981102982874,0.14925373134328357,3/4,0.75,False,False
baaaa|aa,1.0,2.0,2.0,407,405,0.5,0,35.8,32.62,32.7,33.33,3.19,0.0956,0.0741,0.1001,-0.026,1.37,0.17086238377152116,1.39,0.1657809365948963,0.1691542288557214,4/4,1.0,False,False
cdddd|cc,1.0,2.0,2.0,387,387,0.0,0,36.18,32.94,32.7,33.33,3.24,0.0972,0.0853,0.1031,-0.0178,1.36,0.17437127328611476,1.38,0.1690984942297438,0.18407960199004975,2/4,0.5,False,False
ddddd|cb,1.0,3.0,3.0,1525,1516,0.6,0,25.86,24.31,24.3,25.0,1.54,0.0618,0.0343,0.1023,-0.068,1.4,0.16007701339297406,1.38,0.1669216715750932,0.1791044776119403,2/4,0.5,False,False
ddddd|ac,0.5,3.0,6.0,1129,1127,0.2,0,12.07,13.67,13.67,14.29,-1.61,-0.1125,-0.1553,0.2012,-0.3565,-1.57,0.11595087314126723,-1.37,0.16998330397898814,0.19900497512437812,2/4,0.5,False,False
ddddd|cb,0.5,2.0,4.0,1525,1525,0.0,0,20.85,19.37,19.37,20.0,1.48,0.0741,0.0426,0.2045,-0.1619,1.47,0.14272641962052562,1.37,0.16951598965525055,0.1890547263681592,4/4,1.0,False,False
ccccc|bb,0.5,3.0,6.0,621,621,0.0,0,11.92,13.6,13.67,14.29,-1.68,-0.1175,-0.1659,0.2284,-0.3943,-1.22,0.22161322117741977,-1.36,0.17475915374092552,0.1691542288557214,1/4,0.25,False,False
aaaaa|ba,1.0,3.0,3.0,1518,1503,1.0,0,25.55,24.22,24.3,25.0,1.33,0.0533,0.022,0.1036,-0.0816,1.21,0.2273296844596872,1.35,0.17561563946469846,0.15920398009950248,3/4,0.75,False,False
ddddc|aa,1.0,3.0,3.0,400,398,0.5,0,27.14,24.19,24.3,25.0,2.95,0.1178,0.0854,0.101,-0.0156,1.38,0.16912001815714806,1.34,0.1807515265033534,0.20398009950248755,4/4,1.0,False,False
ddddd|ac,0.5,2.0,4.0,1129,1129,0.0,0,17.63,19.45,19.37,20.0,-1.83,-0.0914,-0.1187,0.2012,-0.3199,-1.55,0.12039706957180993,-1.34,0.1787152936939605,0.19402985074626866,1/4,0.25,False,False
bbbbb|ba,1.0,2.0,2.0,375,375,0.0,0,36.0,32.57,32.7,33.33,3.43,0.1029,0.08,0.1112,-0.0312,1.42,0.15594653104614986,1.33,0.18369191085762768,0.22885572139303484,3/4,0.75,False,False
aaabb|cb,0.5,2.0,4.0,548,548,0.0,0,21.72,19.42,19.37,20.0,2.3,0.1148,0.0858,0.2063,-0.1206,1.36,0.1740009964282646,1.32,0.18552826111511161,0.20398009950248755,3/4,0.75,False,False
ddddc|ba,1.0,2.0,2.0,539,539,0.0,0,35.62,32.83,32.7,33.33,2.8,0.0839,0.0686,0.1041,-0.0355,1.38,0.16646901775916279,1.32,0.18819293528636014,0.22388059701492538,4/4,1.0,False,False
bbbcc|cb,0.5,3.0,6.0,410,410,0.0,0,11.71,13.73,13.67,14.29,-2.02,-0.1415,-0.1805,0.2198,-0.4003,-1.19,0.23386183659239718,-1.32,0.18663075818971017,0.1791044776119403,1/4,0.25,False,False
aaaaa|ba,0.5,1.0,2.0,1518,1518,0.0,0,33.86,32.25,32.15,33.33,1.61,0.0482,0.0158,0.2071,-0.1913,1.34,0.18040135884189612,1.31,0.19171638136733476,0.21393034825870647,3/4,0.75,False,False
