i,side,reason,confluence,agreement,taken,quality
28663,1,retest,1.0,full,True,77.05
28700,-1,retest,-1.0,conflict,True,95.71
28772,-1,retest,-0.556,conflict,True,80.94
28827,-1,retest,-0.556,conflict,True,83.3
28840,-1,retest,-0.222,conflict,True,86.33
28866,-1,retest,0.111,partial,True,66.71
28902,-1,retest,0.111,partial,True,81.65
28912,-1,retest,0.111,partial,True,87.87
28942,-1,retest,0.111,partial,True,83.1
29050,-1,retest,-0.333,conflict,True,94.1
29062,-1,retest,-0.111,conflict,True,76.26
29087,-1,retest,-0.111,conflict,True,73.34
29113,-1,retest,0.111,partial,True,80.69
29165,-1,retest,0.111,partial,True,71.29
29202,-1,retest,0.556,partial,True,93.29
29227,-1,retest,0.556,partial,True,76.13
29320,-1,retest,1.0,full,True,75.57
29351,-1,retest,1.0,full,True,87.7
29462,1,retest,-1.0,conflict,True,75.36
29512,-1,retest,1.0,full,True,90.18
29519,1,retest,-1.0,conflict,True,91.77
29540,1,retest,-1.0,conflict,True,82.9
29585,1,retest,-0.556,conflict,True,99.41
29604,1,retest,-0.556,conflict,True,98.33
29651,1,retest,-0.556,conflict,True,82.13
29695,-1,retest,0.556,partial,True,92.82
29798,-1,retest,0.556,partial,True,86.19
29811,-1,retest,0.778,partial,True,76.27
29834,-1,retest,1.0,full,True,93.8
29887,1,retest,-1.0,conflict,True,83.87
29899,-1,retest,1.0,full,True,77.91
29925,-1,retest,1.0,full,True,73.57
29931,-1,retest,1.0,full,True,84.22
29972,-1,retest,1.0,full,True,82.06
29988,-1,retest,1.0,full,True,72.58
29998,-1,retest,1.0,full,True,83.52
30022,1,retest,-1.0,conflict,True,86.59
30035,1,retest,-1.0,conflict,True,87.25
30098,-1,retest,0.556,partial,True,79.9
30136,-1,retest,0.556,partial,True,78.1
30204,-1,retest,1.0,full,True,93.19
30211,-1,retest,1.0,full,True,74.55
30237,-1,retest,1.0,full,True,96.3
30244,-1,retest,1.0,full,True,90.45
30315,1,retest,-1.0,conflict,True,79.82
30409,-1,retest,1.0,full,True,75.29
30427,-1,retest,1.0,full,True,84.86
30482,-1,retest,1.0,full,True,85.0
30572,-1,retest,1.0,full,True,84.86
30592,-1,retest,1.0,full,True,84.75
30601,-1,retest,1.0,full,True,84.88
30610,-1,retest,1.0,full,True,77.86
30705,1,retest,-1.0,conflict,True,74.7
30817,-1,retest,1.0,full,True,93.62
30844,-1,retest,1.0,full,True,93.31
30885,-1,retest,1.0,full,True,99.94
30935,-1,retest,1.0,full,True,81.67
30989,1,retest,-1.0,conflict,True,75.13
31012,-1,retest,1.0,full,True,85.27
31075,1,retest,-1.0,conflict,True,79.34
31110,1,retest,-0.556,conflict,True,95.94
31150,1,retest,-0.556,conflict,True,98.38
31190,-1,retest,0.556,partial,True,80.85
31220,1,retest,-0.556,conflict,True,74.51
31272,1,retest,-0.556,conflict,True,86.17
31360,1,retest,-0.556,conflict,True,82.11
31371,1,retest,-0.556,conflict,True,78.71
31389,1,retest,-0.222,conflict,True,83.66
31409,1,retest,0.111,partial,True,70.44
31439,1,retest,0.111,partial,True,97.09
31503,-1,retest,-0.111,conflict,True,77.52
31555,1,retest,0.111,partial,True,76.75
31650,-1,retest,-0.111,conflict,True,94.85
31669,1,retest,0.111,partial,True,88.08
31712,-1,retest,-0.111,conflict,True,79.59
31735,1,retest,0.111,partial,True,78.05
31794,-1,retest,-0.111,conflict,True,92.14
31832,-1,retest,-0.111,conflict,True,72.39
31847,1,retest,0.111,partial,True,82.23
31868,1,retest,0.111,partial,True,81.69
31911,1,retest,0.111,partial,True,92.42
31934,1,retest,0.111,partial,True,81.98
31945,1,retest,0.111,partial,True,86.32
32049,-1,retest,-0.111,conflict,True,75.55
32110,1,retest,0.111,partial,True,80.64
32173,-1,retest,-0.111,conflict,True,74.2
32210,1,retest,0.111,partial,True,79.74
