i,side,reason,confluence,agreement,taken,quality,dist_atr
37161,-1,bounce_resistance,1.0,full,True,82.21,0.4049249846935139
37176,1,bounce_support,-1.0,conflict,True,92.89,0.23343737440698945
37190,-1,bounce_resistance,1.0,full,True,95.54,0.4368451502758736
37240,-1,bounce_resistance,1.0,full,True,86.71,0.3258347369859139
37250,-1,bounce_resistance,1.0,full,True,94.1,0.4335013354837906
37299,-1,bounce_resistance,1.0,full,True,81.29,0.41324261897933007
37326,1,bounce_support,-1.0,conflict,True,86.0,0.19283160096934326
37438,1,bounce_support,-1.0,conflict,True,85.06,0.43951549509251686
37467,1,bounce_support,-1.0,conflict,True,83.71,0.2953274308952859
37481,1,bounce_support,-1.0,conflict,True,95.99,0.49785515077910064
37528,1,bounce_support,-0.556,conflict,True,98.11,0.45306026804634053
37529,1,bounce_support,-0.556,conflict,True,96.96,0.09000952438962245
37556,-1,bounce_resistance,0.556,partial,True,99.3,0.33582555724451824
37598,-1,bounce_resistance,0.778,partial,True,99.56,0.40888233840484534
37604,-1,bounce_resistance,1.0,full,True,98.82,0.4349842506397185
37629,-1,bounce_resistance,1.0,full,True,94.23,0.2955469809749084
37683,-1,bounce_resistance,1.0,full,True,92.62,0.2131016585841577
37692,-1,bounce_resistance,1.0,full,True,99.04,0.2178776326379643
37714,-1,bounce_resistance,1.0,full,True,84.03,0.370657608042076
37757,-1,bounce_resistance,1.0,full,True,94.96,0.11439081528567208
37804,1,bounce_support,-0.778,conflict,True,80.89,0.31358281962162704
37867,-1,bounce_resistance,0.556,partial,True,93.61,0.33484634811095576
37896,1,bounce_support,-0.556,conflict,True,92.1,0.11303860270722389
37938,1,bounce_support,-0.556,conflict,True,95.14,0.13838518706843128
38003,-1,bounce_resistance,0.556,partial,True,85.58,0.2757389776730164
38036,1,bounce_support,-0.556,conflict,True,84.31,0.4142232857507378
38047,1,bounce_support,-0.556,conflict,True,96.58,0.18007920525036067
38076,-1,bounce_resistance,0.778,partial,True,72.25,0.447312149551026
38093,-1,bounce_resistance,1.0,full,True,79.72,0.09548023283615836
38108,-1,bounce_resistance,1.0,full,True,66.3,0.3967101209755414
38163,-1,bounce_resistance,1.0,full,True,97.29,0.3610060543716767
38181,1,bounce_support,-1.0,conflict,True,70.85,0.35728079139336466
38250,1,bounce_support,-0.556,conflict,True,89.75,0.14519180749614102
38261,1,bounce_support,-0.556,conflict,True,85.82,0.2961808358839547
38293,-1,bounce_resistance,1.0,full,True,100.0,0.4512933371600784
38302,-1,bounce_resistance,1.0,full,True,93.25,0.23830215295258245
38349,-1,bounce_resistance,1.0,full,True,96.77,0.4690981766053289
38350,-1,bounce_resistance,1.0,full,True,95.46,0.07927900778910159
38383,-1,bounce_resistance,1.0,full,True,98.69,0.2458587343595362
38456,-1,bounce_resistance,1.0,full,True,77.17,0.4208848121689556
38502,1,bounce_support,-1.0,conflict,True,86.89,0.20823543176408113
38572,-1,bounce_resistance,1.0,full,True,84.91,0.3604989385392817
38638,-1,bounce_resistance,1.0,full,True,97.22,0.2059703961151269
38639,-1,bounce_resistance,1.0,full,True,97.17,0.16505661630627086
38673,1,bounce_support,-1.0,conflict,True,70.26,0.20674464413712423
38751,-1,bounce_resistance,0.556,partial,True,97.79,0.18266977415862332
38792,-1,bounce_resistance,1.0,full,True,98.58,0.0023966402524519307
38827,-1,bounce_resistance,1.0,full,True,97.41,0.2661354831584906
38875,1,bounce_support,-1.0,conflict,True,85.47,0.34196297647447743
38941,1,bounce_support,-0.556,conflict,True,84.1,0.020782313930850917
38960,1,bounce_support,-0.556,conflict,True,78.6,0.34589797653512255
38993,1,bounce_support,-0.556,conflict,True,89.01,0.405680573555981
39000,1,bounce_support,-0.556,conflict,True,84.03,0.05767719611764407
39035,-1,bounce_resistance,0.556,partial,True,83.17,0.19744666849704498
39036,-1,bounce_resistance,0.556,partial,True,93.89,0.17918648533028825
39061,1,bounce_support,-0.556,conflict,True,69.89,0.27343805034186275
39074,1,bounce_support,-0.222,conflict,True,85.82,0.07388305235910138
39145,-1,bounce_resistance,0.222,partial,True,75.26,0.3858968045210664
39176,1,bounce_support,0.111,partial,True,72.48,0.464202561216336
39224,1,bounce_support,0.111,partial,True,84.85,0.4500877035325695
39246,1,bounce_support,0.111,partial,True,98.8,0.27889245306422394
39258,1,bounce_support,0.111,partial,True,92.89,0.2262218788690004
39287,1,bounce_support,0.111,partial,True,95.28,0.3936045865737833
39346,-1,bounce_resistance,-0.111,conflict,True,87.06,0.183317324507436
39373,-1,bounce_resistance,-0.111,conflict,True,85.47,0.29842113809609816
39419,1,bounce_support,0.111,partial,True,80.47,0.4802321045399895
39421,1,bounce_support,0.111,partial,True,83.68,0.4887208123493717
39434,1,bounce_support,0.111,partial,True,84.12,0.32954296773224145
39460,-1,bounce_resistance,-0.111,conflict,True,91.25,0.42160482763698065
